id,Name,Known ingredients,Effect,Characteristics,Difficulty level
48,Mandrake Restorative Draught,Stewed Mandrake,Returns transfigured or cursed individuals to their original state,,
49,Mouth Itching Antidote,Pale green in colour,Cures mouth itching,,
50,Mrs Skower's All-Purpose Magical Mess Remover,,Cleans stains,Strong acrid odour,
51,Murtlap Essence,Murtlap tentacles,Soothes and heals cuts and abrasions,Blue in colour,
52,Pepperup Potion,"Bicorn horn, Mandrake root","Warms up the recipient and cures common cold, Steam emits from drinker's ears",,
53,Polyjuice Potion,"Lacewing flies (stewed 21 days), Leeches, Powdered bicorn horn, Knotgrass, Fluxweed (picked at full moon), Shredded Boomslang skin, A bit of the person one wants to turn into (typically hair)",Allows a human drinker to temporarily assume the form of another person,"Before addition of final ingredient: Thick and mud-like, Bubbles slowly
After addition of final ingredient: Taste and colour vary depending on the person being turned into",Advanced
54,Rat tonic,,"Healing potion for rats, Abnormal growth of the rat if too much is drunk",Green-coloured,
55,Regeneration potion,"Bone of the father, Flesh of a servant, Blood of a foe",Helps restore non-corporeal wizards to their bodies,,Advanced
56,Rudimentary body potion,"Snake venom, Unicorn blood",Helps restore non-corporeal wizards to a rudimentary bodies/sustains rudimentary bodies,,Advanced
57,Shrinking Solution,"Minced daisy roots, Peeled Shrivelfig, Sliced caterpillars, One rat spleen, A dash of leech juice, A splash of cowbane, Wormwood",Causes living beings to shrink to a smaller form,Acid green in colour,
58,Skele-Gro,"1 Chinese Chomping Cabbage, 3 Puffer-fish, 5 Scarab beetles",Restores bones,"Smokes when poured, Vile taste, Burns on the way down",Above second year
59,Sleekeazy's Hair Potion,"Gomas Barbadensis, Asian Dragon Hair, Petroleum Jelly",Makes hair more manageable,,
60,Sleeping Draught,"4 sprigs of Lavender, 6 measures of Standard Ingredient, 2 blobs of Flobberworm Mucus, 4 Valerian sprigs",Make the drinker quickly fall into a deep but temporary sleep,Dark Purple,Advanced
61,Strengthening Solution,"Salamander blood, Powdered  Griffin claw",Superhuman strength,Turquoise in colour,Moderate to advanced
62,Swelling Solution,"Puffer-fish eyes, Dried nettle, Bat spleens",Causes enlargement on contact,,Beginner
63,Ten-Second Pimple Vanisher,,"Treats boils, pimples, blackheads and acne",,
64,Thick golden potion,,"Healing, curse quarantining",Golden in colour,
65,Truth serum,Jobberknoll feathers,Drinker tells the truth,,
66,Veritaserum,,Forces drinker to speak the truth,Clear and odourless like water,Advanced
67,Weedosoros,,Highly poisonous,Deep brown in colour,
68,Wideye Potion,"6 snake fangs, 4 measures of Standard Ingredient, 6 dried Billywig stings,  2 sprigs of Wolfsbane","Prevents sleeping, Awakens victim",,Beginner
69,Wit-Sharpening Potion,"Ground scarab beetles, Cut ginger roots, Armadillo bile",Improves intellect,Purple in colour,Moderate
70,Wolfsbane Potion,Wolfsbane,Eases the symptoms of lycanthropy; prevents werewolves from losing their minds post-transformation.,"Faint blue smoke when completed, Unpleasant taste",Advanced
71,Wound-cleaning potion,,Antiseptic,"Purple liquid, Smokes on contact, Stings on contact",
